<tbl>
<tt> Datenträger
<dt> 1130.tab
<tag> 1130
<row>Film QQ !104559683!
<row>Arbeitstransparent QQ !105609439!
<row>Blindendruck QQ !104159588!
<row>Blu-ray Audio QQ braau
<row>Blu-ray Disc QQ !556092260!
<row>CD QQ !251637565!
<row>Mikrofiche QQ !105407100!
<row>Online-Ressource QQ cofz
<row>CD-ROM QQ !105636290!
<row>Dia QQ !10556138X!
<row>Diskette QQ !104778393!
<row>Druckwerk QQ !104665548!
<row>DVD-Audio  QQ !32526354X!
<row>DVD-ROM QQ !325263558!
<row>DVD-Video QQ !325263515!
<row>Foto QQ foto
<row>Gegenstand QQ !106320580!
<row>Handschrift QQ !10457187X!
<row>Kunstblatt QQ kunstbl
<row>Mikrofilm QQ !106228803!
<row>Medienkombination QQ !105054607!
<row>Nachlass QQ !104234067!
<row>Plakat QQ !104141603!
<row>Schallplatte QQ !106174002!
<row>Sonstige Mikroform QQ skop
<row>Sonstiger Bildtonträger QQ sobildtt
<row>Sonstige elektronische Ressource auf Datenträger QQ soerd
<row>Sonstiger Tonträger QQ sott 
<row>Tonband QQ !105661872!
<row>Tonkassette QQ !105285374!
<row>Videokassette QQ !104657596!
</tbl>
